word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
			她听到那个消息后惊呆了。		She was amazed to hear the news.
			她忙著做她的功課。		She was busy doing her homework.
			她对我来说是一个完全陌生的人。		She's a complete stranger to me.
			她不在是因为病了。		She's absent because she's sick.
			她在无理取闹。		She's asking for the impossible.
			她已經工作了一整天。		She's been working all day long.
			她担心你的安全。		She's worried about your safety.
			讓我看看你有多少錢。		Show me how much money you have.
			软件正在不断进化。		Software is constantly evolving.
			有人偷了我的行李。		Somebody has stolen my suitcase.
			不知是谁在敲门。		Someone is knocking on the door.
			有什么要开始了。		Something is starting to happen.
			我偶尔会在俱乐部碰到他。		Sometimes I see him at the club.
			运动有益健康。		Sports are good for your health.
			别再扯你姐姐的头发了！		Stop pulling your sister's hair.
			感谢告诉我真相。		Thanks for telling me the truth.
			那孩子和他父亲很像。		That child resembles his father.
			那有点难以置信。		That's a little hard to believe.
			那是值得自豪的事。		That's something to be proud of.
			在門口的自行車是我的。		The bicycle by the door is mine.
			波蘭的首都是華沙。		The capital of Poland is Warsaw.
			这个城市人口众多。		The city has a large population.
			指南针指向北边。		The compass points to the north.
			狗在地毯上睡觉。		The dog was sleeping on the mat.
			女孩凝视着洋娃娃。		The girl was gazing at the doll.
			柚子很酸。		The grapefruit tastes very sour.
			交作业的截止日期是下周一。		The homework is due next Monday.
			马在路上小跑着。		The horse trotted down the road.
			最大的卧室朝南。		The largest bedroom faces south.
			今晚月色真美。		The moon is beautiful, isn't it?
			这名老人一只眼盲了。		The old man is blind in one eye.
			这老人瞎了一只眼。		The old man is blind in one eye.
			这个老人一只眼看不见了。		The old man is blind in one eye.
			警察起诉他盗窃。		The police accused him of theft.
			警方逮捕了嫌疑人。		The police arrested the suspect.
			现在正是好时候。		The present time is a good time.
			奖项是不会授给她的。		The prize won't be given to her.
			问题是他没钱。		The problem is, he has no money.
			预订好了。		The reservation is already made.
			太陽比月亮大。		The sun is larger than the moon.
			桌子被灰尘覆盖。		The table was covered with dust.
			领带和我的西装不配。		The tie doesn't go with my suit.
			火車十分鐘後離開。		The train leaves in ten minutes.
			海啸的警报解除了。		The tsunami alert was cancelled.
			我们俩不属于这儿。		The two of us don't belong here.
			世界上的石油快用完了。		The world is running out of oil.
			路上没什么车。		There are no cars on the street.
			那裡太多人了。		There are too many people there.
			池塘上有座桥。		There is a bridge over the pond.
			我家附近有一座教堂。		There is a church near my house.
			附近有一間郵局。		There is a post office close by.
			没有理由抱怨。		There is no cause for complaint.
			走廊裡有一部電話。		There's a telephone in the hall.
			今天没有任何下雨的可能性。		There's no chance of rain today.
			今天不可能下雨。		There's no chance of rain today.
			没什么好怕的。		There's nothing to be afraid of.
			只剩下一點點牛奶了。		There's only a little milk left.
			冰箱里只有牛奶哦。		There's only milk in the fridge.
			有些事我必須說。		There's something I have to say.
			墙上还是有血。		There's still blood on the wall.
			這些箱子是由塑料製成的。		These boxes are made of plastic.
			这些焰火真壮观！		These fireworks are spectacular!
			你看到的這些花是玫瑰。		These flowers you see are roses.
			這些桃子不是很甜。		These peaches aren't very sweet.
			他们嫉妒我们的成功。		They are jealous of our success.
			她们嫉妒我们的成功。		They are jealous of our success.
			他们原谅了他的罪行。		They forgave him for his crimes.
			他们在加利福尼亚种橙子。		They grow oranges in California.
			他们把小偷绑到了树上。		They tied the thief to the tree.
			他们用肥皂洗手。		They wash their hands with soap.
			他们被直升机解救。		They were rescued by helicopter.
			你知道吗，他们又在吵架。		They're arguing again, you know.
			這家旅館不提供午餐。		This hotel does not serve lunch.
			這是一朵非常美麗的花。		This is a very beautiful flower.
			这只是我们之间的秘密。		This is just between you and me.
			這是城裡最糟糕的旅館。		This is the worst hotel in town.
			这就是汤姆想住的地方。		This is where Tom wants to live.
			这不是我喜欢的类型。		This isn't the type that I like.
			這封信是寄給你。		This letter is addressed to you.
			这饭足够三个人吃。		This meal is adequate for three.
			我今天早上还是很困。		This morning I was still sleepy.
			今天相比往常，稍暖一些。		Today's a bit warmer than usual.
			今天比平时还忙。		Today's even busier than normal.
			汤姆差点在河里淹死了。		Tom almost drowned in the river.
			汤姆和我是玛丽的同班同学。		Tom and I are Mary's classmates.
			汤姆和玛丽不喜欢跳舞。		Tom and Mary don't like dancing.
			汤姆不庆祝圣诞。		Tom doesn't celebrate Christmas.
			汤姆没有很多钱。		Tom doesn't have a lot of money.
			汤姆不喜欢做作业。		Tom doesn't like doing homework.
			汤姆不再给我写信了。		Tom doesn't write to me anymore.
			汤姆最终做了点正确的事。		Tom finally did something right.
			汤姆跟着玛丽进入了房间。		Tom followed Mary into the room.
			汤姆给玛丽半个苹果。		Tom gave Mary half of the apple.
			汤姆给玛丽冷的肩膀。		Tom gave Mary the cold shoulder.
			汤姆从没见过玛丽这么忙。		Tom had never seen Mary so busy.
			汤姆也表示了相似观点。		Tom has expressed similar ideas.
			汤姆已经开始学习空手道了。		Tom has started studying karate.
			汤姆是不是有点醉了？		Tom is a little drunk, isn't he?
			汤姆隐藏着一个可怕的秘密。		Tom is hiding a terrible secret.
			汤姆是我们的首发四分卫。		Tom is our starting quarterback.
			汤姆习惯早起。		Tom is used to getting up early.
			汤姆不是一个经验老道的司机。		Tom isn't an experienced driver.
			汤姆车开得不是很娴熟。		Tom isn't an experienced driver.
			汤姆不会同意的。		Tom isn't going to give me that.
			汤姆知道我不喜欢他。		Tom knows that I don't like him.
			汤姆怀疑地看着玛丽。		Tom looked at Mary suspiciously.
			汤姆需要被告知怎么做。		Tom needs to be told what to do.
			汤姆需要更新他的网站。		Tom needs to update his website.
			汤姆经常在课堂上睡着。		Tom often falls asleep in class.
			汤姆说了他什么也没看到。		Tom said he didn't see anything.
			汤姆好像很喜欢你做的菜。		Tom seemed to like your cooking.
			汤姆给我发了一条有趣的短信。		Tom sent me an interesting text.
			汤姆试着把门推开。		Tom tried to push the door open.
			汤姆想告诉你一些事情。		Tom wants to tell you something.
			汤姆就和玛丽一样兴奋。		Tom was just as excited as Mary.
			汤姆看玛丽画一幅画。		Tom watched Mary draw a picture.
			汤姆很有可能会和你达成一致。		Tom would likely agree with you.
			汤姆好，但不够好。		Tom's good, but not good enough.
			汤姆的祖母好像身体很好。		Tom's grandmother looks healthy.
			旅行社的利润猛涨。		Travel agencies' profits soared.
			这封信是玛丽写的吗？		Was this letter written by Mary?
			我们在电视上宣传我们的产品。		We advertise our products on TV.
			我们为她的安全担忧。		We are anxious about her safety.
			我们晚饭后吃新鲜水果。		We ate fresh fruit after dinner.
			我们无法接近敌人。		We can't get close to the enemy.
			我们这里没有很多访客。		We don't get many visitors here.
			我们不想从你身上要任何东西。		We don't want anything from you.
			我们尽情在湖里游泳。		We enjoyed swimming in the lake.
			我们时不时地去钓鱼。		We go fishing from time to time.
			六月下了很多天的雨。		We have many rainy days in June.
			我们没理由害臊。		We have no reason to be ashamed.
			我们经常讨论天气。		We often talk about the weather.
			再不快点就迟到了噢。		We'll be late if we don't hurry.
			我们会找到解决办法的，我确信		We'll find a solution, I'm sure.
			我们将参加马拉松。		We'll take part in the marathon.
			你在学校学些什么呀？		What are you learning at school?
			您为什么惩罚他们？		What are you punishing them for?
			這些天你都在讀些什麼？		What are you reading these days?
			你今晚有什么打算？		What are your plans for tonight?
			你把我的行李放到哪裡去了？		What did you do with my luggage?
			你怎么花的那些钱？		What did you do with that money?
			你把你的鞋怎么了？		What did you do with your shoes?
			你想让我再说什么？		What else do you want me to say?
			你最喜欢什么水果？		What fruit do you like the best?
			印度的人口有多少？		What is the population of India?
			你用哪種洗髮水？		What kind of shampoo do you use?
			你要什麼甜點？		What would you like for dessert?
			你旅行的目的是什麼？		What's the purpose of your trip?
			你姐姐的狗叫什麼名字？		What's your sister's dog's name?
			从什么时候开始您就这里工作着的呢？		When did you start working here?
			你在哪裡剪頭髮？		Where did you get your hair cut?
			接下来你们想去哪里？		Where would you like to go next?
			你想加入哪一組？		Which group do you want to join?
			這些球拍中哪一支是你的？		Which of these rackets is yours?
			谁选你来做这个任务？		Who picked you for this mission?
			今晚谁要打扫？		Who's going to clean up tonight?
			谁负责这个部门？		Who's in charge of this section?
			昨天是谁过生日？		Whose birthday was it yesterday?
			你为什么买这么多曲奇？		Why did you buy so many cookies?
			为什么你把长凳漆成红色了？		Why did you paint the bench red?
			为什么你想到外国读书？		Why do you want to study abroad?
			为什么您想到外国读书？		Why do you want to study abroad?
			你能帮我说明一下规则吗？		Will you explain the rule to me?
			在你的帮助下我们会抓到汤姆。		With your help, we'll catch Tom.
			你不和我一起喝点茶吗？		Won't you have some tea with me?
			你需要茶或者别的什么吗？		Would you like tea or something?
			你对电脑感兴趣。		You are interested in computers.
			你可以做任何你想做的事。		You can do whatever you want to.
			你走或留，随你高兴。		You can go or stay, as you wish.
			你不能一心二用。		You can't do two things at once.
			你不能一心两用。		You can't do two things at once.
			一心不可二用。		You can't do two things at once.
			你不要自甘堕落。		You don't have to kick yourself.
			你不知道我有多担心啊。		You don't know how worried I am.
			你知道问题在哪里。		You know where the problem lies.
			这本书你该还给他。		You must return the book to him.
			你应该向他征求意见。		You ought to ask him for advice.
			你說你有重要新聞。		You said you had important news.
			你应该能解决。		You should be able to manage it.
			你应该去竞选城市委员会。		You should run for city council.
			你应该直接跟汤姆说。		You should talk directly to Tom.
			你应该更小心的。		You should've been more careful.
			你該留在車裡。		You should've stayed in the car.
			你昨天就该告诉我了。		You should've told me yesterday.
			你低估了你的魅力。		You underestimate your charisma.
			您最好请教一下医生。		You'd better consult the doctor.
			你最好请教一下医生。		You'd better consult the doctor.
			你最好不要再去那裡。		You'd better not go there again.
			你是做這份工作最好的人選。		You're the best man for the job.
			你是最適合做這份工作的人。		You're the best man for the job.
			我只知道你一位加拿大人。		You're the only Canadian I know.
			你是我唯一能信任的人。		You're the only one I can trust.
			你减肥了，不是么？		You've lost weight, haven't you?
			你的英語進步了很多。		Your English has improved a lot.
			你的腳踏車和我的很相似。		Your bicycle is similar to mine.
			你的意見跟我的相似。		Your opinion is similar to mine.
			你的问题类似于我的。		Your problem is similar to mine.
			你衬衣的纽扣快掉了。		Your shirt button is coming off.
			“我也那样觉得。”她附和道。		"""I think so, too,"" she chimed in."
			很快人群就在他周围聚集了起来。		A crowd soon gathered around him.
			过了几天，我们离开了波士顿。		A few days later, we left Boston.
			直角是九十度。		A right angle has ninety degrees.
			少了一个戒指和一点现金。		A ring and some cash are missing.
			过两天我们的食物就发完了。		After two days our food gave out.
			我现在只想睡点觉。		All I want now is a little sleep.
			他全家都在农场工作。		All of his family work on a farm.
			你是说是我杀了汤姆吗？		Are you saying that I killed Tom?
			以我之见，我无话可说。		As for me, I have nothing to say.
			回家的路上注意安全。		Be careful on your way back home.
			顺便问一句，你今晚有空吗？		By the way, are you free tonight?
			我可以向你借一些錢？		Can I borrow some money from you?
			您能带汤姆上医院吗？		Can you take Tom to the hospital?
			在你出門之前，把你的頭髮梳一梳。		Comb your hair before you go out.
			爸爸今天很不耐烦。		Dad's in an impatient mood today.
			详细叙述一下这起事故吧。		Describe that accident in detail.
			警察盘问你了吗？		Did the police ever question you?
			你有这扇门的钥匙吗？		Do you have the key to this door?
			你介意我开窗吗？		Do you mind if I open the window?
			不要再碰我的东西。		Don't ever touch my things again.
			不要忘了熄火。		Don't forget to put out the fire.
			不要扔石頭到河裡。		Don't throw rocks into the river.
			不要往河裡扔石頭。		Don't throw rocks into the river.
			别想靠你自己做这事。		Don't try to do this by yourself.
			自己说过的话都不记得了吗？		Don't you remember what you said?
			連巧克力中也含有維他命。		Even chocolate contains vitamins.
			她的每首歌都长期备受欢迎。		Every one of her songs was a hit.
			他的每首歌都长期备受欢迎。		Every one of his songs was a hit.
			大家都玩爱情游戏。		Everybody plays the game of love.
			法律面前人人平等。		Everyone is equal before the law.
			不好意思，请问我可以开窗吗？		Excuse me, may I open the window?
			做运动有利于健康。		Exercise is good for your health.
			体育有益健康。		Exercise is good for your health.
			水果对身体非常好。		Fruit is very good for your body.
			在他们看见你之前离开这儿。		Go away before they see you here.
			好好看这张照片。		Have a good look at this picture.
			你吃过香蕉派吗？		Have you ever eaten a banana pie?
			您已经吃过药了吗？		Have you taken your medicine yet?
			他總是與他的妻子吵架。		He always quarrels with his wife.
			他要求我講慢一點。		He asked me to speak more slowly.
			他晚上很晚回家。		He came home late in the evening.
			他不可能做那種事。		He cannot have done such a thing.
			他收集了一些訊息。		He collected bits of information.
			他让我相信他是无辜的。		He convinced me of his innocence.
			他在花园里砍了一棵树。		He cut down a tree in his garden.
			他砍了花园里的一棵树。		He cut down a tree in his garden.
			他不是很了解日本。		He doesn't know much about Japan.
			他因我喝酒而訓斥我。		He gave me a lecture on drinking.
			他給了我正式批准。		He gave me his stamp of approval.
			他在早餐前洗了个澡。		He had a shower before breakfast.
			昨晚他的車被偷了。		He had his car stolen last night.
			他有一个兄弟和两个姐妹。		He has a brother and two sisters.
			他有很好的英語能力。		He has a good command of English.
			他有一大家子要養。		He has a large family to support.
			他有很多历史书籍。		He has a lot of books on history.
			他去世三年了。		He has been dead for three years.
			他还没回我的信。		He hasn't answered my letter yet.
			他迫不及待地想要知道结果。		He is anxious to know the result.
			他开始掉头发了。		He is beginning to lose his hair.
			他不是医生，他是教师。		He is not a doctor but a teacher.
			他不是歌手，但是个演员。		He is not a singer, but an actor.
			他够大了，可以独自旅行了。		He is old enough to travel alone.
			他還坐在長椅上。		He is still sitting on the bench.
			他是我部門的主管。		He is the chief of my department.
			他非常吝啬。		He is very stingy with his money.
			他总是犯同样的错误。		He keeps making the same mistake.
			他把球踢進了球門。		He kicked the ball into the goal.
			他把眼镜落在我们这里了。		He left his glasses at our place.
			他住在大阪附近一座鎮上。		He lives in a village near Osaka.
			他善用他的天赋。		He makes good use of his talents.
			他經常駕駛他的父親的車。		He often drives his father's car.
			他常常因他自己的笑話而笑。		He often laughs at his own jokes.
			他预测会下雨。		He predicted there would be rain.
			他按下按鈕然後等待著。		He pressed the button and waited.
			他假装听不见。		He pretended not to be listening.
			他被证实是个理想丈夫。		He proved to be an ideal husband.
			他把信读了一遍又一遍。		He read the letter over and over.
			他辞职后逃离了这个国家。		He resigned and fled the country.
			他冒着失去所有财产的危险。		He risked losing all his fortune.
			他说九点了。		He said that it was nine o'clock.
			他刮下靴子上的泥巴。		He scraped the mud off his boots.
			他每年冬天在北海道滑雪。		He skis in Hokkaido every winter.
			他故意踩我的腳。		He stepped on my foot on purpose.
			他说话就像一位老师。		He talks as if he were a teacher.
			他认为我非常的累。		He thought that I was very tired.
			他告诉过我他会去威尼斯。		He told me he would go to Venice.
			他告诉我他那时很忙。		He told me that he was busy then.
			他给我讲述了他的一生。		He told me the story of his life.
			他让我做，我就做了。		He told me to do it, so I did it.
			他搭错了车。		He took the wrong bus by mistake.
			他通常在十一點上床睡覺。		He usually went to bed at eleven.
			他想喝些冷飲。		He wants something cold to drink.
			他想得到一本新的字典。		He wants to get a new dictionary.
			他被指控偷錢。		He was accused of stealing money.
			他昨天上学迟到了。		He was late for school yesterday.
			他被他的朋友嘲笑了。		He was laughed at by his friends.
			他比以前重得多。		He weighs a lot more than before.
			尽管下着雨，他还是出去了。		He went out in spite of the rain.
			除了星期天他每天工作。		He works every day except Sunday.
			他一年到頭努力工作。		He works hard all the year round.
			他把这记在他的笔记本上。		He wrote it down in his notebook.
			他有时会给我写信。		He wrote to me from time to time.
			他走路或者骑车过来。		He'll come on foot or by bicycle.
			他一點也不怕蛇。		He's not at all afraid of snakes.
			你自己拿蛋糕吃吧。		Help yourself to a piece of cake.
			你们自己吃蛋糕。		Help yourself to a piece of cake.
			她的父親上週去世了。		Her father passed away last week.
			她的母親去年去世了。		Her mother passed away last year.
			她母亲将继续工作。		Her mother will continue to work.
			她的紅色禮服使她引人注目。		Her red dress made her stand out.
			喂，你能把灯关掉吗？		Hey, can you turn the lights off?
			他的父親去年過世了。		His father passed away last year.
			他的辦公室跟我的非常近。		His office is very close to mine.
			他的衬衫被酱汁弄脏了。		His shirt was stained with sauce.
			历史不是他的主修课。		History is not his major subject.
			明天晚上九点怎么样？		How about tomorrow night at nine?
			我们怎么付钱？		How are we going to pay for that?
			你今天早上感覺如何？		How are you feeling this morning?
			你怎么从你的房间里出来？		How did you get out of your room?
			你在日本住多久了？		How long have you lived in Japan?
			你春假放多久？		How long is your spring vacation?
			汤姆在这里工作了几年？		How many years did Tom work here?
			现在我几乎不看电视。		I almost never watch TV nowadays.
			我已经和这个学生谈过话了。		I already talked to this student.
			我跟他總是相處得很好。		I always get along well with him.
			我要求他明天去那裡。		I asked him to go there tomorrow.
			我给你带了点东西。		I brought you a little something.
			我在車站碰到他。		I bumped into him at the station.
			我不懂他的意思。		I can't figure out what he means.
			我不禁欣賞他的才華。		I can't help admiring his talent.
			我不記得怎麼去那裡了。		I can't remember how to go there.
			我想不到好的用户名		I can't think of a good username.
			我不懂发生了什么。		I can't understand what happened.
			我等不及要去度假。		I can't wait to go on a vacation.
			我把盒子扛在肩上。		I carried the box on my shoulder.
			我可以回答所有问题。		I could answer all the questions.
			我不知道它是从哪里来的。		I didn't know where it came from.
			我不允许有人在课上睡觉。		I do not allow sleeping in class.
			我比以前吃得少了。		I don't eat as much as I used to.
			我不指望从你身上得到什么。		I don't expect anything from you.
			我也不想玩。		I don't feel like playing either.
			我毫无顾虑。		I don't have a care in the world.
			我没有别的问题了。		I don't have any other questions.
			我不知道，他也不知道。		I don't know and neither does he.
			我不知道如何烹調鹿肉。		I don't know how to cook venison.
			我不知道汤姆往哪去了。		I don't know where Tom was going.
			我不知道该和谁商量好。		I don't know who to consult with.
			我不介意在雨中漫步。		I don't mind walking in the rain.
			我不需要你或别的人。		I don't need you or anybody else.
			我认为没人能做到。		I don't think anyone can do this.
			我一點也不懂德語。		I don't understand German at all.
			我完全不懂德语。		I don't understand German at all.
			这里面我有很多不懂的。		I don't understand much about it.
			我不明白這句話。		I don't understand this sentence.
			我不明白那是什麼意思。		I don't understand what it means.
			我不想承担这样一个风险。		I don't want to take such a risk.
			我鼓励汤姆更努力学习。		I encouraged Tom to study harder.
			我詳細地解釋了原因。		I explained the reason in detail.
			我感覺又變成了少年。		I feel like I'm a teenager again.
			我感觉有滴雨落在头上。		I felt a drop of rain on my head.
			我在你的桌子抽屉里找到了这个。		I found this in your desk drawer.
			我每年夏天都去鄉下。		I go to the country every summer.
			我起来的时候天还是黑的呢。		I got up while it was still dark.
			今晚我度过了一段非常美好的时光。		I had a really nice time tonight.
			昨天晚饭吃的鱼。		I had fish for dinner last night.
			我昨天必須加班。		I had to work overtime yesterday.
			有今天有點頭疼。		I have a bit of a headache today.
			我有今晚的預訂。		I have a reservation for tonight.
			我一点也没有要辞职的意思。		I have no intention of resigning.
			我有一些照片給你看。		I have some pictures to show you.
			我好久没坐帆船了。		I haven't been sailing for years.
			我还没看过那段视频。		I haven't watched that video yet.
			听说你有新女朋友了。		I hear you have a new girlfriend.
			我听到了一个很有意思的谣言。		I heard a very interesting rumor.
			我希望经济很快复苏起来。		I hope the economy picks up soon.
			我打算去理髮店。		I intend to go to the barbershop.
			我知道你知道我知道。		I know that you know that I know.
			我喜欢和你一起吃早饭。		I like having breakfast with you.
			我喜欢和你一起吃早餐。		I like having breakfast with you.
			我爱你胜过其他任何一个人。		I love you more than anyone else.
			我昨天非常想念你。		I missed you very much yesterday.
			我需要一副好的太陽眼鏡。		I need a good pair of sunglasses.
			我不想做你老婆了。		I no longer wish to be your wife.
			我常常在河裡游泳。		I often go swimming in the river.
			我拒绝回答你的问题。		I refuse to answer your question.
			我跟我姐姐共用同一間臥房。		I share a bedroom with my sister.
			我每天工作时都讲法语。		I speak French every day at work.
			我在海邊度假。		I spent my vacation at the beach.
			我购买一本书花费了三十美元。		I spent thirty dollars on a book.
			我上週跟我叔叔住在一起。		I stayed with my uncle last week.
			我认为我能跑得跟汤姆一样快。		I think I can run as fast as Tom.
			我想我把錢包放家裡了。		I think I left my wallet at home.
			我覺得她知道真相。		I think that she knows the truth.
			我认为这外套应该适合你。		I think this coat should fit you.
			我认为你知道那不是真的。		I think you know that's not true.
			我觉得你应该多休息一会儿。		I think you should get more rest.
			我看你该做这交易。		I think you should make the deal.
			我觉得那是个很棒的故事。		I thought that was a great story.
			我告訴了警察我所知道的。		I told the policeman what I knew.
			我相信我能再見到你。		I trust that I can see you again.
			我理解你所说的一切。		I understand everything you said.
			我理解汤姆的观点。		I understood Tom's point of view.
			我早餐通常吃得很清淡。		I usually have a light breakfast.
			星期天我通常待在家裡。		I usually stay indoors on Sunday.
			我拜訪了我祖母的房子。		I visited my grandmother's house.
			我走了四分之三英里。		I walked three-fourths of a mile.
			我要更多詳細的訊息。		I want more detailed information.
			我想成为决策的人。		I want to be the one who decides.
			我今天想去看電影。		I want to go to the movies today.
			我想去滑冰场。		I want to go to the skating rink.
			我想学标准的英语。		I want to learn standard English.
			我想認識你姐姐。		I want to meet your older sister.
			我明年想出国留学。		I want to study abroad next year.
			我想要大家伙帮我个忙。		I want you guys to do me a favor.
			我在一九七二年十月十日出生。		I was born on October 10th, 1972.
			我要在這裡工作一整天。		I was going to work here all day.
			我只是試著保護你。		I was just trying to protect you.
			晚饭后我洗了碗碟。		I washed the dishes after supper.
			晚饭后我洗了餐具。		I washed the dishes after supper.
			我没有在事故中受伤。		I wasn't injured in the accident.
			我非常注意我的體重。		I watch my weight very carefully.
			我昨天去了醫院。		I went to the hospital yesterday.
			我希望他来信更勤些。		I wish he would write more often.
			要是你能在那裡就好了。		I wish you could have been there.
			我希望你告訴我真相了。		I wish you had told me the truth.
			我纳闷我为什么不该那样做。		I wonder why I shouldn't do that.
			我想知道她的故事是否是真的。		I wondered if her story was true.
			我喜欢视野好的房子。		I'd like a room with a good view.
			我想再要些麵包，謝謝。		I'd like some more bread, please.
			我要三磅的雞肉。		I'd like three pounds of chicken.
			我想要订房。		I'd like to reserve a hotel room.
			明天我一整天都在家。		I'll be at home all day tomorrow.
			我載你到車站。		I'll drop you off at the station.
			我只会等三分钟。		I'll only wait for three minutes.
			我總是忙於功課。		I'm always busy with my homework.
			对于这份工作来说，我的年龄太老了。		I'm getting too old for this job.
			我在这，你想聊天吗？		I'm here, so do you want to chat?
			我只是担心我的体重。		I'm just worried about my weight.
			我不会再回来了。		I'm never coming back here again.
			我不挑剔，我什么都吃。		I'm not picky. I'll eat anything.
			我不确定当时我正在想什么。		I'm not sure what I was thinking.
			我对我的人生很满意。		I'm quite satisfied with my life.
			我甘心为你做任何事。		I'm ready to do anything for you.
			一直打扰你不好意思。		I'm sorry to bother you so often.
			我是唯一能做到那个的人。		I'm the only one who can do that.
			我厌倦了看电视。		I'm tired of watching television.
			我太累了，做不了功课。		I'm too sleepy to do my homework.
			我对语言很感兴趣。		I'm very interested in languages.
			我改了一下我网站的版面设计。		I've changed my website's layout.
			我改了一下我的网站的布局。		I've changed my website's layout.
			我从没有爬过这座山。		I've never climbed this mountain.
			我很久没见过他了。		I've not seen him in a long time.
			我好久不见他了。		I've not seen him in a long time.
			如果明天下雨，我就不去。		If it rains tomorrow, I won't go.
			要是你来得了，那就太好了。		If you came, that would be great.
			说谎总是一种罪吗？		Is it always a sin to tell a lie?
			你怎么想无关紧要。		It doesn't matter what you think.
			一天天热起来了。		It is becoming warmer day by day.
			車開得這麼快很危險。		It is dangerous to drive so fast.
			生活在日本很昂貴。		It is expensive to live in Japan.
			要精通英語不容易。		It is not easy to master English.
			盯著陌生人看是不禮貌的。		It is rude to stare at strangers.
			这不是任何人都能做的事。		It isn't something anyone can do.
			昨天上午下大雨。		It rained hard yesterday morning.
			似乎很明顯他病了。		It seems obvious that he is sick.
			看起来我们是在一条船上。		It seems we are in the same boat.
			完全按您想的来。		It will be done just as you wish.
			开个聚会很好。		It would be nice to have a party.
			它至少要花五美元。		It'll cost at least five dollars.
			盯著人看是不禮貌的。		It's impolite to stare at people.
			这里夏天非常炎热。		It's very hot here in the summer.
			只要把那些包包放在任何地方都行。		Just put those packages anywhere.
			让孩子远离池塘。		Keep children away from the pond.
			留着你的钱吧，我不想要它。		Keep your money. I don't want it.
			讓我知道你住在哪裡。		Let me know where you're staying.
			生活就像一盒巧克力。		Life is like a box of chocolates.
			没有爱的人生没有意义。		Life without love has no meaning.
			看外面正在发生什么。		Look at what's happening outside.
			小心！有卡車！		Look out! There's a truck coming!
			许多苍鹭在沼泽地中生活。		Lots of herons live in the marsh.
			许多男生和女生都出席了。		Many boys and girls were present.
			許多人在排隊等候。		Many people were waiting in line.
			玛丽买了一件衬衫和一件女式衬衫。		Mary bought a shirt and a blouse.
			上週日我的老闆要我工作。		My boss made me work last Sunday.
			我哥哥和我共用這間房間。		My brother and I shared the room.
			我爸爸每天都记日记。		My dad keeps a journal every day.
			今天早上我耳朵流血了。		My ear was bleeding this morning.
			我爸爸有点守旧。		My father is a bit old-fashioned.
			我爸爸是个钓鱼高手。		My father is a skilled fisherman.
			我父親今天下午有空。		My father is free this afternoon.
			我父亲现在在医院。		My father is in the hospital now.
			我父親每天散步。		My father takes a walk every day.
			这条项链是我奶奶送给我的。		My grandma gave me this necklace.
			我家离这儿很远。		My house is a long way from here.
			妈妈正在准备早餐。		My mother is preparing breakfast.
			我母亲昨天很晚还醒着。		My mother was up late last night.
			我的耐心快要耗尽了。		My patience is nearing its limit.
			我妹妹正在玩洋娃娃。		My sister is playing with a doll.
			永遠不要忘記關火。		Never forget to put out the fire.
			不论去哪，我都会迷路。		No matter where I go, I get lost.
			已经没人来拜访我了。		No one comes to visit me anymore.
			别的狗都没这只狗大。		No other dog is bigger than this.
			不入虎穴，焉得虎子。		Nothing ventured, nothing gained.
			没有挑战就没有收获。		Nothing ventured, nothing gained.
			在這一點上意見不一。		Opinion is divided on this point.
			人们仍然认为汤姆说谎。		People still think Tom is a liar.
			请为这位女士叫辆出租车。		Please call a taxi for this lady.
			等一下請打電話到我住的旅館。		Please call me at my hotel later.
			請開車開慢一點。		Please drive the car more slowly.
			請原諒我遲到。		Please forgive me for being late.
			請讓我知道你要什麼。		Please let me know what you want.
			请把桌子向左移。		Please move the desk to the left.
			抱歉那么晚来。		Please pardon me for coming late.
			请告诉我为什么汤姆被炒了。		Please tell me why Tom was fired.
			米的产量减少了。		Production of rice has decreased.
			記得稱讚她的新洋裝。		Remember to admire her new dress.
			修理将要花费很多钱。		Repairs will cost a lot of money.
			拼命地跑		Run like your life depends on it.
			她總是關心我的健康。		She always cared about my health.
			她總是低聲地說話。		She always speaks in a low voice.
			我和她是兄妹。		She and I are brother and sister.
			她和我是姐弟。		She and I are brother and sister.
			她請他打開窗口。		She asked him to open the window.
			她为我们煮了一顿美味的晚餐。		She cooked us a delicious dinner.
			她一邊讀這封信一邊哭。		She cried as she read the letter.
			她把他形容为侦探。		She described him as a detective.
			她没有试图掩盖真相。		She didn't try to hide the truth.
			她跳入了游泳池。		She dived into the swimming pool.
			她不在乎她的穿著。		She doesn't care how she dresses.
			她不喜欢去学校。		She doesn't like going to school.
			她不喜欢我说话的方式。		She doesn't like the way I speak.
			她已经不向我微笑了。		She doesn't smile for me anymore.
			她上女子高中。		She goes to a girls' high school.
			她每星期去作一次健美操。		She goes to aerobics once a week.
			她大方地道歉。		She had the decency to apologize.
			她恰巧知道他的地址。		She happened to know his address.
			她必須照顧她的母親。		She has to look after her mother.
			她把画挂反了。		She hung the picture upside down.
			她把我介紹給她的弟弟認識。		She introduced me to her brother.
			她一天一天地好轉。		She is getting better day by day.
			她今年秋天要結婚。		She is getting married this fall.
			她没她看上去那么年轻。		She is not as young as she looks.
			她喜欢为她的家人做饭。		She likes cooking for her family.
			她没有辜负我们的期望。		She lived up to our expectations.
			她可以为她的女儿感到骄傲。		She may be proud of her daughter.
			她终生未婚。		She remained single all her life.
